model,draw_index,matches,additional_match
v3,0,2,False
v3,1,1,False
v3,2,1,False
v3,3,1,False
v3,4,2,False
v3,5,1,False
v3,6,1,False
v3,7,1,False
v3,8,1,False
v3,9,2,False
v3,10,1,False
v3,11,2,False
v3,12,2,False
v3,13,1,False
v3,14,2,False
v3,15,1,False
v3,16,2,False
v3,17,2,False
v3,18,1,False
v3,19,3,False
v3,20,1,False
v3,21,0,False
v3,22,1,False
v3,23,2,False
v3,24,2,False
v3,25,2,False
v3,26,1,False
v3,27,3,False
v3,28,3,False
v3,29,1,False
v3,30,1,False
v3,31,1,False
v3,32,2,False
v3,33,2,False
v3,34,2,False
v3,35,2,False
v3,36,1,False
v3,37,3,False
v3,38,1,False
v3,39,2,False
v3,40,2,False
v3,41,3,False
v3,42,2,False
v3,43,1,False
v3,44,2,False
v3,45,2,False
v3,46,1,False
v3,47,1,False
v3,48,1,False
v3,49,3,False
v3,50,1,False
v3,51,1,False
v4,0,3,False
v4,1,1,True
v4,2,2,False
v4,3,1,False
v4,4,2,False
v4,5,1,False
v4,6,2,False
v4,7,2,False
v4,8,1,False
v4,9,4,False
v4,10,2,False
v4,11,2,False
v4,12,1,False
v4,13,1,False
v4,14,1,False
v4,15,1,False
v4,16,0,False
v4,17,2,False
v4,18,1,False
v4,19,2,False
v4,20,1,False
v4,21,0,False
v4,22,1,False
v4,23,1,False
v4,24,2,False
v4,25,1,False
v4,26,1,False
v4,27,1,False
v4,28,3,False
v4,29,1,False
v4,30,1,False
v4,31,2,False
v4,32,2,False
v4,33,1,False
v4,34,2,False
v4,35,1,False
v4,36,1,False
v4,37,2,False
v4,38,1,False
v4,39,2,False
v4,40,2,False
v4,41,1,False
v4,42,1,False
v4,43,1,False
v4,44,2,False
v4,45,3,False
v4,46,1,False
v4,47,1,False
v4,48,2,False
v4,49,2,False
v4,50,2,False
v4,51,2,False
random,0,2,False
random,1,1,False
random,2,1,False
random,3,2,False
random,4,2,False
random,5,1,False
random,6,1,False
random,7,3,False
random,8,1,False
random,9,2,False
random,10,2,False
random,11,1,False
random,12,1,False
random,13,1,False
random,14,1,False
random,15,1,False
random,16,1,False
random,17,2,False
random,18,2,False
random,19,2,False
random,20,1,False
random,21,1,False
random,22,3,False
random,23,2,False
random,24,1,False
random,25,1,False
random,26,1,False
random,27,2,False
random,28,2,False
random,29,1,False
random,30,0,False
random,31,1,False
random,32,1,False
random,33,2,False
random,34,2,False
random,35,2,False
random,36,0,False
random,37,1,False
random,38,2,False
random,39,2,False
random,40,2,False
random,41,1,False
random,42,1,False
random,43,2,False
random,44,2,False
random,45,1,False
random,46,2,False
random,47,3,False
random,48,1,False
random,49,2,False
random,50,3,False
random,51,0,False
